log_time,g_function
-48.6233967871433,-9.433679980681546
-47.24328754093965,-9.426151786310799
-45.86317829473599,-9.418623591940051
-44.483069048532336,-9.411095397569303
-43.102959802328684,-9.403567203198556
-41.722850556125024,-9.39603900882781
-40.34274130992137,-9.388510814457062
-38.96263206371772,-9.380982620086314
-37.58252281751406,-9.373454425715567
-36.20241357131041,-9.365926231344819
-34.82230432510676,-9.358398036974071
-33.4421950789031,-9.350869842603323
-32.062085832699445,-9.343341648232576
-30.68197658649579,-9.335813453861828
-29.301867340292134,-9.32828525949108
-27.92175809408848,-9.320757065120334
-26.541648847884826,-9.313228870749587
-25.16153960168117,-9.305700676378839
-23.781430355477518,-9.298172482008091
-22.401321109273862,-9.290644287637344
-21.021211863070207,-9.283116093266596
-19.641102616866554,-9.275587898895848
-18.2609933706629,-9.2680597045251
-16.880884124459243,-9.260531510154353
-15.50077487825559,-9.087510333276896
-14.120665632051931,-8.234876575472255
-12.74055638584828,-6.049002015346754
-11.360447139644627,-2.2769899072134234
-9.980337893440968,1.0257140866667416
-8.600228647237316,2.1815234783206785
-8.5,3.2592244339551932
-7.8,3.700148622262269
-7.2,4.0688048213133605
-6.5,4.493786828426604
-5.9,4.893742193785467
-5.2,5.503877089709128
-4.5,6.3405783423771815
-3.963,7.1128674427989935
-3.27,8.187648251199846
-2.864,8.821688908664527
-2.577,9.260603059206222
-2.171,9.856737255216775
-1.884,10.256136695174607
-1.191,11.122311512868553
-0.497,11.825927880423581
-0.274,12.013097505450887
-0.051,12.179969953269978
0.196,12.34092529460845
0.419,12.46476895508561
0.642,12.569457802377059
0.873,12.658928050195964
1.112,12.733270553342294
1.335,12.788209476691708
1.679,12.850477097120642
2.028,12.892536254836806
2.275,12.912990596350177
3.003,12.9457295785826
