,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C],ISHX0_N_EFT[C],ISHX0_N_ExFT[C],ISHX0_HP_EFT[C]
1,4.899270,2.969462,4.658751,3.984995,3.982433,3.728582,3.717778,4.927972,-9.258302,6.138165,4.927972,5.523372,-4.554971,6.118773,5.245519,5.679606,-3.320883,6.113693,5.448093,3.252801,2.703978
2,4.663418,2.795336,4.446957,3.758415,3.756071,3.523839,3.518075,4.617165,-8.893185,5.716255,4.617165,5.262905,-5.224945,5.908645,4.961560,5.460684,-4.038619,5.959808,5.194484,3.070220,2.539154
3,4.536862,2.676837,4.295037,3.653444,3.650991,3.412086,3.409618,4.470861,-8.484324,5.532105,4.470861,5.128530,-5.257864,5.786199,4.821618,5.341756,-4.158346,5.861893,5.064349,2.954400,2.426913
4,4.404519,2.548381,4.181711,3.510205,3.507933,3.276948,3.274587,4.316860,-8.702482,5.359133,4.316860,4.990954,-5.628362,5.665047,4.676377,5.219279,-4.532974,5.762181,4.929731,2.828882,2.303670
5,4.350672,2.502633,4.111412,3.475113,3.472707,3.235685,3.229949,4.260447,-8.364146,5.290945,4.260447,4.933622,-5.463899,5.606798,4.619474,5.165326,-4.430469,5.711178,4.874205,2.780073,2.256540
6,4.258257,2.412951,4.045105,3.376631,3.373537,3.151797,3.121940,4.152259,-8.703546,5.182578,4.152259,4.839088,-5.801938,5.525917,4.518568,5.080403,-4.746057,5.642237,4.780757,2.690755,2.168255
7,4.177646,2.327674,3.940649,3.340046,3.337766,3.132069,3.033657,4.059130,-8.870553,5.084603,4.059130,4.754913,-6.018665,5.450696,4.430215,5.003801,-4.961641,5.577388,4.697888,2.616921,2.096679
8,4.206047,2.433868,4.113832,3.355909,3.353381,3.118990,2.998097,4.085474,-8.138753,5.172851,4.085474,4.793007,-5.295712,5.500540,4.462825,5.039054,-4.312933,5.615283,4.731732,2.628993,2.103308
9,4.219373,2.532341,4.101189,3.398174,3.395408,3.138566,3.015757,4.108608,-7.734906,5.201458,4.108608,4.814990,-4.999591,5.521373,4.485345,5.058781,-4.058628,5.632217,4.752948,2.618646,2.085071
10,4.253321,2.765110,4.217325,3.425649,3.422648,3.139034,3.018444,4.158968,-7.205919,5.299492,4.158968,4.870208,-4.493672,5.581449,4.538296,5.109151,-3.606704,5.680005,4.804695,2.599198,2.047824
