,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C],ISHX0_N_EFT[C],ISHX0_N_ExFT[C],ISHX0_HP_EFT[C]
1,4.939341,3.168876,4.689938,4.047344,4.044900,3.802751,3.792444,4.937284,-9.184738,6.082125,4.937284,5.514137,-4.627926,6.090989,5.244939,5.669159,-3.403405,6.093380,5.442908,3.428640,2.925073
2,4.697100,2.968348,4.471161,3.810443,3.808193,3.585310,3.579777,4.627382,-8.834870,5.674987,4.627382,5.253297,-5.278597,5.879213,4.961204,5.448510,-4.109649,5.935816,5.188613,3.222562,2.731049
3,4.566597,2.832663,4.318130,3.700870,3.698510,3.468634,3.466259,4.481106,-8.434449,5.495953,4.481106,5.119123,-5.302594,5.757140,4.821382,5.329228,-4.220735,5.837074,5.058377,3.091260,2.599481
4,4.431119,2.689517,4.200999,3.552074,3.549878,3.326632,3.324350,4.326609,-8.660635,5.328867,4.326609,4.982183,-5.664899,5.637758,4.676248,5.207074,-4.586925,5.737899,4.923967,2.952574,2.459726
5,4.383897,2.678521,4.137289,3.528631,3.526329,3.299567,3.294080,4.272584,-8.304160,5.251089,4.272584,4.922709,-5.517339,5.572834,4.619318,5.150216,-4.505510,5.681114,4.867070,2.934377,2.451203
6,4.291485,2.589952,4.068713,3.428557,3.425594,3.213213,3.184613,4.164778,-8.647431,5.144943,4.164778,4.827971,-5.850977,5.491165,4.518481,5.064588,-4.817990,5.610695,4.773331,2.845945,2.364099
7,4.268083,2.815235,4.017286,3.494462,3.492476,3.313338,3.227609,4.095570,-8.629156,4.963530,4.095570,4.722509,-6.232956,5.349449,4.429937,4.958859,-5.258477,5.487782,4.676768,3.042028,2.633343
8,4.360650,3.219776,4.201447,3.591623,3.589588,3.400835,3.303436,4.141613,-7.801417,4.979791,4.141613,4.742918,-5.596705,5.344223,4.462309,4.970113,-4.726436,5.477918,4.699284,3.344746,3.006111
9,4.374424,3.288497,4.196835,3.635353,3.633142,3.427840,3.329627,4.168198,-7.435735,5.006769,4.168198,4.761979,-5.265142,5.355760,4.484881,4.984755,-4.432453,5.484628,4.718155,3.343231,2.999500
10,4.462777,3.655995,4.321296,3.728802,3.726553,3.514049,3.423633,4.232229,-6.830655,5.040826,4.232229,4.804325,-4.832804,5.376421,4.537347,5.018881,-4.067777,5.500414,4.762063,3.564919,3.265633
11,4.511980,3.791095,4.348388,3.811577,3.809155,3.593501,3.507801,4.295406,-6.363701,5.083012,4.295406,4.849631,-4.478027,5.403855,4.590992,5.056706,-3.762878,5.522420,4.808326,3.622944,3.326598
12,4.552172,3.899828,4.398609,3.840849,3.837857,3.626810,3.556734,4.330654,-6.162875,5.104573,4.330654,4.874295,-4.329131,5.417937,4.620596,5.077128,-3.635460,5.533661,4.833644,3.707753,3.426281
13,4.617335,4.027213,4.456279,3.939426,3.936184,3.720066,3.655763,4.401781,-5.644792,5.147800,4.401781,4.924518,-3.955315,5.447254,4.680574,5.119183,-3.318757,5.557791,4.885258,3.813567,3.545645
14,4.635964,4.097326,4.490935,3.937760,3.933630,3.721523,3.664984,4.410757,-5.707467,5.156530,4.410757,4.931724,-3.987005,5.452691,4.688606,5.125310,-3.342133,5.562014,4.892401,3.866651,3.610214
15,4.668102,4.166420,4.521385,3.988284,3.985070,3.767249,3.716703,4.444629,-5.457420,5.172554,4.444629,4.954142,-3.819934,5.463655,4.716369,5.143689,-3.203711,5.571009,4.915785,3.925053,3.677370
16,4.643495,4.163210,4.516433,3.927822,3.925316,3.715575,3.660464,4.403935,-5.837073,5.147405,4.403935,4.924607,-4.087859,5.445279,4.681627,5.118462,-3.429647,5.555298,4.885483,3.917529,3.675541
17,4.634556,4.158449,4.506458,3.927654,3.925237,3.719262,3.655315,4.392958,-5.819518,5.130602,4.392958,4.912762,-4.100906,5.432566,4.670187,5.107230,-3.447976,5.544272,4.874140,3.915805,3.676222
18,4.441434,3.555327,4.267177,3.683802,3.681608,3.510537,3.435789,4.229023,-7.058935,5.022256,4.229023,4.791299,-5.003662,5.353576,4.528904,5.002947,-4.218484,5.476991,4.750124,3.515362,3.206672
19,4.338715,3.129544,4.139932,3.566234,3.564017,3.393821,3.302939,4.148170,-7.264549,4.993402,4.148170,4.739811,-5.085002,5.331452,4.463712,4.960685,-4.271357,5.457658,4.695633,3.267960,2.911042
20,4.313820,3.189114,4.159268,3.516159,3.513912,3.338195,3.252200,4.097649,-7.324455,4.943097,4.097649,4.696838,-5.191014,5.296027,4.417216,4.922433,-4.376891,5.427650,4.652984,3.296329,2.957165
21,4.108924,2.562211,3.880457,3.281523,3.279380,3.100113,3.023504,3.949164,-8.231431,4.874824,3.949164,4.597783,-5.767841,5.246401,4.295094,4.840212,-4.847463,5.385330,4.549483,2.787248,2.346690
22,4.067725,2.574284,3.888142,3.220216,3.217225,3.028849,2.966404,3.890010,-8.220993,4.813616,3.890010,4.546527,-5.843643,5.203044,4.240152,4.794385,-4.933210,5.348617,4.498794,2.774517,2.343448
23,3.997159,2.379062,3.794169,3.156039,3.153867,2.947333,2.892273,3.837410,-8.309255,4.782548,3.837410,4.507938,-5.894994,5.178465,4.195025,4.761047,-4.976234,5.327070,4.459169,2.611131,2.149122
24,3.915367,2.254757,3.727475,3.051477,3.049356,2.835154,2.805756,3.753206,-8.686198,4.700657,3.753206,4.435448,-6.254772,5.117690,4.117069,4.695953,-5.307190,5.274837,4.387215,2.499824,2.027976
25,3.912173,2.240745,3.705629,3.068118,3.065694,2.827193,2.817878,3.758176,-8.300447,4.698475,3.758176,4.435158,-5.976028,5.112139,4.119233,4.694033,-5.074024,5.268833,4.387473,2.486272,2.010971
26,3.851436,2.164293,3.665564,2.992192,2.989806,2.751296,2.746235,3.691304,-8.677082,4.636373,3.691304,4.377684,-6.301950,5.064065,4.057374,4.642089,-5.368523,5.226805,4.330241,2.415022,1.936217
27,3.829553,2.128928,3.627173,2.985891,2.983540,2.735305,2.733144,3.672869,-8.548694,4.612593,3.672869,4.357827,-6.231078,5.042785,4.038180,4.622730,-5.317665,5.207280,4.310970,2.385303,1.903887
28,3.756054,2.040547,3.573412,2.897789,2.895496,2.651433,2.649377,3.591905,-9.008917,4.534432,3.591905,4.286480,-6.638926,4.981055,3.962345,4.557632,-5.689907,5.152920,4.240146,2.303777,1.819685
29,3.794758,2.163875,3.641396,2.955730,2.953357,2.686868,2.681705,3.621985,-8.460105,4.562264,3.621985,4.309778,-6.188381,4.997572,3.988808,4.577211,-5.294127,5.165615,4.263396,2.388845,1.920208
30,3.824843,2.347410,3.740628,2.978233,2.974958,2.703329,2.674979,3.620338,-8.399868,4.565696,3.620338,4.309659,-6.124881,4.998981,3.987976,4.577084,-5.234445,5.166192,4.262893,2.510692,2.072642
31,4.402098,4.172212,4.353329,3.814212,3.810828,3.511414,3.403987,4.035836,-5.029024,4.667686,4.035836,4.554069,-4.124720,5.072301,4.312227,4.770285,-3.645778,5.228343,4.525987,4.030430,3.906541
32,4.958007,6.066397,5.030209,4.554002,4.546458,4.223082,4.100238,4.455554,-2.641197,4.810870,4.455554,4.809987,-2.634633,5.164420,4.644585,4.974163,-2.449873,5.303740,4.798388,5.436865,5.596484
33,5.355776,6.955736,5.548262,5.357972,5.343204,4.993611,4.858298,4.906273,-0.312485,4.954247,4.906273,5.087148,-1.178134,5.268023,5.002739,5.197171,-1.266429,5.391602,5.093474,6.142684,6.404986
34,5.662018,7.631390,5.976540,5.851747,5.834920,5.503542,5.379163,5.240862,0.861729,5.102561,5.240862,5.301111,-0.375401,5.361360,5.272995,5.370317,-0.606396,5.467638,5.318412,6.692838,7.036444
35,5.898179,8.093561,6.277431,6.241881,6.225201,5.933850,5.824468,5.532827,1.877253,5.241186,5.532827,5.487283,0.293162,5.441739,5.508537,5.519546,-0.070863,5.530555,5.513674,7.051694,7.436199
36,6.162753,8.555877,6.586597,6.712192,6.693324,6.438314,6.354239,5.864453,3.314765,5.374667,5.864453,5.691692,1.169207,5.518931,5.772314,5.681236,0.616393,5.590159,5.729811,7.461579,7.894521
37,6.467763,9.142460,6.971888,7.166986,7.144756,6.914716,6.842584,6.181756,4.555197,5.520928,6.181756,5.893647,1.985984,5.605538,6.028098,5.842876,1.276765,5.657654,5.941661,8.046067,8.572169
38,6.687354,9.506128,7.256276,7.543234,7.522382,7.315593,7.252493,6.465955,5.524560,5.679416,6.465955,6.083350,2.687373,5.700746,6.261899,5.997058,1.860215,5.732217,6.138306,8.334498,8.883546
39,6.902324,9.922756,7.574251,7.829723,7.815650,7.617858,7.561330,6.684273,6.031078,5.807215,6.684273,6.234275,3.094404,5.784278,6.444274,6.122021,2.215970,5.799768,6.293889,8.727627,9.336061
40,7.027655,10.182110,7.769325,7.936543,7.922559,7.716881,7.650298,6.785001,5.773163,5.919704,6.785001,6.321882,3.089878,5.858763,6.538004,6.199325,2.259626,5.860646,6.379954,8.970759,9.618460
41,7.093372,10.342285,7.850139,7.933755,7.914895,7.677387,7.596638,6.796321,5.132426,5.996004,6.796321,6.355259,2.828527,5.914197,6.561088,6.234237,2.096091,5.907386,6.408557,9.147815,9.832630
42,7.251332,10.737532,8.035261,8.082834,8.070810,7.822550,7.714986,6.875579,5.339953,6.036172,6.875579,6.413178,2.941604,5.950776,6.628965,6.284409,2.191922,5.939852,6.468172,9.600810,10.383969
43,6.730913,9.358134,7.164530,6.919609,6.906535,6.571314,6.404394,6.314386,0.430531,6.224378,6.314386,6.171174,0.685016,6.027963,6.238006,6.117181,0.577935,5.996357,6.181621,8.378790,8.928082
44,6.636863,9.241568,7.030851,6.748071,6.738467,6.390927,6.237916,6.168256,0.346396,6.098597,6.168256,6.086670,0.405706,6.005084,6.124744,6.056497,0.339371,5.988251,6.092895,8.268764,8.812732
45,5.983578,7.004970,6.045105,5.652163,5.640782,5.233850,5.082843,5.700099,-2.828733,6.317354,5.700099,5.894250,-0.889746,6.088400,5.803646,5.925149,-0.556820,6.046652,5.860347,6.353270,6.476501
46,5.814255,6.538720,5.844295,5.424813,5.418452,4.992893,4.872086,5.517448,-3.012816,6.162810,5.517448,5.785743,-1.252512,6.054038,5.660539,5.845325,-0.862661,6.030112,5.746773,6.016704,6.084187
47,5.359845,5.198309,5.332660,4.635552,4.631740,4.264258,4.179898,5.115339,-5.424421,6.050781,5.115339,5.566479,-2.616062,6.017619,5.355947,5.682609,-1.894243,6.009271,5.508390,4.914209,4.765664
48,5.089220,4.569684,5.065031,4.281445,4.278034,3.923631,3.881365,4.852704,-6.250263,5.824044,4.852704,5.383787,-3.417351,5.914870,5.135949,5.537006,-2.580676,5.938063,5.323109,4.387553,4.153664
49,4.922757,4.171091,4.887096,4.121121,4.117793,3.748689,3.735984,4.708641,-6.343551,5.681298,4.708641,5.271131,-3.668496,5.833622,5.008636,5.443065,-2.833294,5.877494,5.211369,4.056921,3.768310
50,4.760008,3.830575,4.729685,3.929603,3.926414,3.568773,3.561985,4.551741,-6.821880,5.541498,4.551741,5.150001,-4.123493,5.748260,4.870813,5.341107,-3.241495,5.811401,5.090284,3.769180,3.438904
51,4.664451,3.620179,4.617721,3.854907,3.851766,3.488407,3.485536,4.468587,-6.768997,5.451638,4.468587,5.078300,-4.198298,5.688012,4.793767,5.278474,-3.337545,5.763181,5.019964,3.597914,3.242401
52,4.546219,3.398982,4.503621,3.714055,3.711033,3.363534,3.360816,4.349972,-7.188296,5.339129,4.349972,4.981511,-4.589451,5.613049,4.686793,5.194683,-3.690883,5.702572,4.923808,3.413452,3.035863
53,4.696831,4.100099,4.664112,3.903288,3.900262,3.545977,3.539425,4.406148,-6.188404,5.272870,4.406148,4.986295,-4.142256,5.566443,4.715560,5.189865,-3.386541,5.664170,4.936902,3.976617,3.736546
54,4.766736,4.523839,4.753289,3.954872,3.950891,3.613817,3.579305,4.404252,-6.068498,5.229199,4.404252,4.965909,-4.131679,5.527567,4.703803,5.166965,-3.407130,5.630128,4.919945,4.307107,4.153897
55,5.600412,7.383291,5.752477,5.248344,5.244497,4.906426,4.783921,4.978801,-1.375073,5.173681,4.978801,5.237008,-1.821908,5.495215,5.116511,5.360534,-1.721828,5.604558,5.230389,6.710482,7.080505
56,6.098453,8.916033,6.446736,6.046469,6.038574,5.712867,5.584357,5.441868,1.023873,5.299378,5.441868,5.491867,-0.359273,5.541866,5.468534,5.551165,-0.593754,5.633796,5.507095,7.872528,8.463886
57,6.374187,9.384156,6.860488,6.701748,6.687535,6.348872,6.218601,5.827948,2.669865,5.437296,5.827948,5.721077,0.730400,5.614205,5.770950,5.729098,0.286034,5.687246,5.751419,8.242491,8.865259
58,6.607489,9.778866,7.230086,7.181968,7.165801,6.838561,6.718968,6.141565,3.778776,5.564163,6.141565,5.913845,1.490302,5.686124,6.020114,5.881173,0.909294,5.742232,5.955275,8.564130,9.216344
59,6.739994,9.927794,7.408583,7.388686,7.372412,7.071858,6.965078,6.341590,4.146543,5.718103,6.341590,6.055595,1.902030,5.769600,6.189060,5.997041,1.277033,5.805022,6.099451,8.661623,9.302166
60,6.872758,10.095074,7.568044,7.579433,7.560480,7.277638,7.193157,6.516667,4.587050,5.840178,6.516667,6.179751,2.284520,5.842835,6.336979,6.099377,1.611097,5.861776,6.226098,8.812738,9.459398
61,7.055339,10.426019,7.800791,7.825974,7.803313,7.532516,7.459052,6.696902,5.186197,5.934751,6.696902,6.300378,2.698224,5.903854,6.485422,6.197910,1.956432,5.910398,6.351250,9.167606,9.871695
62,7.136439,10.478201,7.899234,7.974545,7.953250,7.689959,7.625483,6.834237,5.460534,6.042992,6.834237,6.402271,2.981082,5.970304,6.603855,6.283351,2.211859,5.962847,6.454287,9.182897,9.865049
63,7.234838,10.622278,8.032435,8.077285,8.063195,7.794105,7.737582,6.933813,5.543063,6.130045,6.933813,6.480743,3.124530,6.027672,6.692176,6.350677,2.355089,6.009179,6.532810,9.340924,10.042952
64,7.319651,10.737533,8.126951,8.157444,8.144088,7.878009,7.814459,7.015521,5.600014,6.216583,7.015521,6.550238,3.261322,6.084954,6.767370,6.411478,2.494564,6.055585,6.601287,9.474744,10.193109
65,7.432447,10.920202,8.250118,8.288136,8.271086,8.013079,7.940052,7.114327,5.877103,6.288602,7.114327,6.625108,3.482017,6.135890,6.853410,6.475556,2.689377,6.097703,6.677078,9.698552,10.453920
66,7.596343,11.255826,8.449900,8.472683,8.461885,8.213636,8.117002,7.231826,6.293244,6.346650,7.231826,6.705063,3.745067,6.178301,6.950886,6.542113,2.906212,6.133339,6.760125,10.104999,10.941217
67,7.162642,10.326132,7.742546,7.508393,7.496270,7.171230,7.016457,6.707276,1.603442,6.398095,6.707276,6.448384,1.342643,6.189491,6.569200,6.354508,1.113416,6.139815,6.469010,9.243538,9.937170
68,7.065206,10.166630,7.618806,7.368282,7.359242,7.034987,6.890185,6.583361,1.621323,6.276537,6.583361,6.367454,1.140896,6.151547,6.468211,6.292633,0.927788,6.117056,6.386275,9.101999,9.780930
69,6.582875,8.707004,6.832899,6.485799,6.474408,6.096348,5.945644,6.180534,-1.086251,6.415424,6.180534,6.187546,-0.032426,6.194557,6.184274,6.164415,0.091835,6.144557,6.175006,7.806481,8.214349
70,6.448160,8.357545,6.663177,6.293848,6.287475,5.895794,5.773974,6.028210,-1.185724,6.282446,6.028210,6.092127,-0.298102,6.156045,6.062299,6.091908,-0.138093,6.121518,6.076117,7.564288,7.936330
71,6.061572,7.275005,6.114382,5.459375,5.455266,5.092944,5.002806,5.648278,-3.527849,6.293750,5.648278,5.906943,-1.413740,6.165607,5.786232,5.958347,-0.940699,6.130462,5.866553,6.646632,6.841652
72,5.780607,6.574208,5.794079,5.029836,5.026174,4.666523,4.620677,5.376056,-4.510419,6.131435,5.376056,5.739687,-2.171264,6.103318,5.569992,5.829912,-1.551996,6.089831,5.691288,6.048564,6.137882
73,5.599743,6.102291,5.602284,4.845124,4.841437,4.462040,4.448105,5.225707,-4.652801,6.003309,5.225707,5.632310,-2.432919,6.038913,5.442562,5.743152,-1.798590,6.043743,5.582837,5.650461,5.667366
74,5.429506,5.704034,5.425449,4.623596,4.620072,4.250284,4.242759,5.066126,-5.148768,5.889493,5.066126,5.520775,-2.843064,5.975425,5.308605,5.652481,-2.150363,5.996357,5.469081,5.310781,5.271206
75,5.313570,5.389433,5.302420,4.531052,4.527504,4.147516,4.144282,4.979177,-5.132949,5.814071,4.979177,5.453945,-2.918882,5.928712,5.232386,5.596281,-2.237235,5.960177,5.402204,5.047670,4.959036
76,5.171578,5.049665,5.159510,4.349767,4.346363,3.980246,3.977176,4.849580,-5.641357,5.721984,4.849580,5.361145,-3.308010,5.872711,5.122415,5.519484,-2.567628,5.916553,5.307714,4.763171,4.627036
77,5.384093,6.015675,5.391814,4.623711,4.620368,4.253144,4.245923,4.928307,-4.447678,5.610690,4.928307,5.368371,-2.868275,5.808435,5.163007,5.514985,-2.294142,5.866963,5.327264,5.554580,5.611409
78,5.434818,6.350282,5.450075,4.655328,4.651087,4.309946,4.273129,4.916524,-4.464569,5.559918,4.916524,5.340288,-2.940536,5.764052,5.142531,5.485812,-2.382057,5.829094,5.302729,5.831084,5.963172
79,6.188173,8.869953,6.452515,5.956863,5.952919,5.617862,5.490751,5.475454,0.104670,5.460157,5.475454,5.590846,-0.789590,5.706238,5.536996,5.660426,-0.844592,5.783856,5.594597,7.968900,8.562475
