,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C]
1,5.523313,4.706418,4.593268,3.803405,3.800404,3.502989,3.490336,4.973676,-8.796481,6.457017,4.973676,5.613880,-3.796523,6.254083,5.315118,5.761249,-2.645638,6.207380
2,5.306290,4.527764,4.420220,3.608250,3.605488,3.331824,3.325035,4.685329,-8.483626,6.045623,4.685329,5.393080,-4.413970,6.100831,5.062796,5.584570,-3.254100,6.106343
3,5.192440,4.380574,4.270714,3.505970,3.503048,3.218493,3.215555,4.544279,-8.100680,5.873003,4.544279,5.276520,-4.464170,6.008760,4.934807,5.486877,-3.365740,6.038946
4,5.072195,4.282074,4.177153,3.377771,3.375069,3.100307,3.097500,4.398051,-8.292390,5.698602,4.398051,5.153526,-4.816955,5.909002,4.800971,5.382165,-3.705729,5.963360
5,5.016498,4.214002,4.106383,3.351094,3.348241,3.067094,3.060294,4.338308,-7.944239,5.616322,4.338308,5.095411,-4.706214,5.852514,4.742097,5.330100,-3.655075,5.918103
6,4.932011,4.162842,4.060104,3.271863,3.268217,3.006939,2.971770,4.238941,-8.253406,5.506111,4.238941,5.009175,-5.016734,5.779410,4.649732,5.254615,-3.939758,5.859499
7,4.848892,4.106456,4.013096,3.353564,3.351061,3.125268,3.017254,4.171627,-8.270462,5.325999,4.171627,4.917675,-5.345038,5.663724,4.569519,5.168175,-4.289046,5.766830
8,4.866577,4.348036,4.250605,3.499312,3.496807,3.264466,3.144617,4.224598,-7.419767,5.304578,4.224598,4.929846,-4.845256,5.635095,4.600730,5.170401,-3.913796,5.740071
9,4.884120,4.371166,4.234259,3.537514,3.534772,3.280221,3.158495,4.249990,-7.092128,5.341486,4.249990,4.947812,-4.534184,5.645634,4.622162,5.183500,-3.647360,5.744837
10,4.922243,4.554716,4.376642,3.646541,3.643772,3.382133,3.270852,4.313855,-6.502404,5.356858,4.313855,4.983012,-4.171728,5.652168,4.670739,5.209677,-3.359908,5.748615
11,4.964388,4.614024,4.388111,3.718622,3.715605,3.446865,3.340113,4.372452,-6.081583,5.404792,4.372452,5.024587,-3.841771,5.676722,4.720257,5.243394,-3.081835,5.766531
12,4.987681,4.672346,4.443386,3.748713,3.744990,3.482355,3.395186,4.407586,-5.886208,5.419986,4.407586,5.046824,-3.716604,5.686062,4.748513,5.261015,-2.979747,5.773518
13,5.035053,4.736952,4.493763,3.844509,3.840441,3.569176,3.488499,4.475215,-5.404450,5.461931,4.475215,5.092796,-3.382618,5.710376,4.804591,5.298439,-2.704904,5.792286
14,5.041306,4.776800,4.537761,3.846988,3.841835,3.577187,3.506672,4.485145,-5.453133,5.463618,4.485145,5.098631,-3.419021,5.712117,4.812337,5.302985,-2.734431,5.793633
15,5.063138,4.811484,4.566422,3.897948,3.893921,3.621010,3.557707,4.518010,-5.221100,5.478312,4.518010,5.119416,-3.269805,5.720822,4.838760,5.319571,-2.614135,5.800381
16,5.035329,4.807029,4.575496,3.845269,3.842163,3.582182,3.513896,4.480932,-5.565575,5.447967,4.480932,5.091920,-3.516418,5.702908,4.806792,5.296513,-2.818490,5.786235
17,5.025631,4.797518,4.566764,3.847543,3.844541,3.588814,3.509450,4.470983,-5.551909,5.432516,4.470983,5.081752,-3.526593,5.692522,4.796727,5.287237,-2.832215,5.777747
