,Zone0_EFT[C],Zone0_ExFT[C],Zone0_CNT[C],Zone1_EFT[C],Zone1_ExFT[C],Zone1_CNT[C],Zone2_EFT[C],Zone2_ExFT[C],Zone2_CNT[C],Zone3_EFT[C],Zone3_ExFT[C],Zone3_CNT[C],Zone4_EFT[C],Zone4_ExFT[C],Zone4_CNT[C],Zone5_EFT[C],Zone5_ExFT[C],Zone5_CNT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX0_CNT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX1_CNT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C],GHX2_CNT[C]
1,6.367985,3.445970,3.445970,6.367985,1.883635,3.316049,6.367985,3.289161,3.303729,6.367985,1.883635,3.302025,6.367985,3.271659,3.297569,6.367985,1.883635,3.291479,3.291479,4.829732,-10.034335,6.367985,6.367985,3.291479,4.829727,-10.034301,6.367974,6.367981,3.291479,4.829738,-10.034374,6.367997,6.367985
2,5.959030,3.005425,3.005425,5.959030,1.462485,2.876496,5.959030,2.870284,2.873522,5.959030,1.462485,2.871936,5.959030,2.852228,2.869204,5.959030,1.462485,2.865858,2.865858,4.412444,-10.273939,5.959030,5.959030,2.865858,4.412438,-10.273901,5.959018,5.959026,2.865858,4.412451,-10.273983,5.959043,5.959030
3,5.741164,2.793791,2.793791,5.741164,1.286047,2.669323,5.741164,2.682556,2.675354,5.741164,1.286047,2.673687,5.741164,2.664412,2.672346,5.741164,1.286047,2.670913,2.670913,4.206038,-10.015155,5.741164,5.741164,2.670913,4.206032,-10.015117,5.741152,5.741160,2.670913,4.206045,-10.015200,5.741177,5.741164
4,5.521437,2.570770,2.570770,5.521437,1.091242,2.449993,5.521437,2.480709,2.464598,5.521437,1.091242,2.463076,5.521437,2.462408,2.462982,5.521437,1.091242,2.461623,2.461623,3.991530,-10.456438,5.521437,5.521437,2.461623,3.991524,-10.456396,5.521424,5.521432,2.461623,3.991537,-10.456486,5.521451,5.521437
5,5.418483,2.537736,2.537736,5.418483,1.010230,2.414082,5.418483,2.393641,2.404821,5.418483,1.010230,2.403177,5.418483,2.375321,2.399168,5.418483,1.010230,2.395828,2.395828,3.907156,-10.095906,5.418483,5.418483,2.395828,3.907150,-10.095866,5.418471,5.418479,2.395828,3.907163,-10.095951,5.418497,5.418483
6,5.270878,2.402564,2.402564,5.270878,0.875620,2.279587,5.270878,2.255260,2.268057,5.270878,0.875620,2.265955,5.270878,2.236817,2.262010,5.270878,0.875620,2.244737,2.244737,3.757808,-10.597095,5.270878,5.270878,2.244737,3.757802,-10.597053,5.270866,5.270874,2.244737,3.757815,-10.597143,5.270892,5.270878
7,5.035767,2.637093,2.637093,5.035767,0.659795,2.509039,5.035767,2.033794,2.318853,5.035767,0.659795,2.317119,5.035767,2.015150,2.280853,5.035767,0.659795,2.218866,2.218866,3.627317,-10.881248,5.035767,5.035767,2.218866,3.627311,-10.881203,5.035756,5.035763,2.218866,3.627323,-10.881299,5.035780,5.035767
8,4.995097,3.100191,3.100191,4.995097,0.640771,2.913761,4.995097,2.008819,2.497266,4.995097,0.640771,2.495304,4.995097,1.990246,2.432548,4.995097,0.640771,2.356472,2.356472,3.675784,-9.804114,4.995097,4.995097,2.356472,3.675779,-9.804075,4.995086,4.995093,2.356472,3.675790,-9.804159,4.995109,4.995097
9,5.026558,3.174273,3.174273,5.026558,0.674928,2.918611,5.026558,2.042295,2.540297,5.026558,0.674928,2.538116,5.026558,2.023780,2.468263,5.026558,0.674928,2.391148,2.391148,3.708853,-9.294133,5.026558,5.026558,2.391148,3.708848,-9.294097,5.026548,5.026555,2.391148,3.708859,-9.294174,5.026570,5.026558
10,5.048554,3.614845,3.614845,5.048554,0.693574,3.212312,5.048554,2.061894,2.692394,5.048554,0.693574,2.690035,5.048554,2.043388,2.600165,5.048554,0.693574,2.525255,2.525255,3.786904,-8.531502,5.048554,5.048554,2.525255,3.786900,-8.531470,5.048544,5.048550,2.525255,3.786910,-8.531538,5.048565,5.048554
